range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,55,0.8619429729529333,0.866406261920929
"[1, 0.14, 0.14, 0.1]",0.01,+,56,0.8623343027327176,0.866894543170929
"[1, 0.14, 0.14, 0.1]",0.01,+,57,0.8626720821215841,0.866992175579071
"[1, 0.14, 0.14, 0.1]",0.01,+,58,0.8630840082055676,0.863964855670929
"[1, 0.14, 0.14, 0.1]",0.01,+,59,0.8634588609419925,0.8633788824081421
"[1, 0.14, 0.14, 0.1]",0.01,+,60,0.8638131173742184,0.86279296875
"[1, 0.14, 0.14, 0.1]",0.01,+,61,0.8641756123281238,0.8609374761581421
"[1, 0.14, 0.14, 0.1]",0.01,+,62,0.8645422265428692,0.8622070550918579
"[1, 0.14, 0.14, 0.1]",0.01,+,63,0.8648717674100559,0.8646484613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,64,0.8652177853206021,0.864550769329071
"[1, 0.14, 0.14, 0.1]",0.01,+,65,0.8655102528402303,0.8675781488418579
"[1, 0.14, 0.14, 0.1]",0.01,+,66,0.8658645092724562,0.8670898675918579
"[1, 0.14, 0.14, 0.1]",0.01,+,67,0.8662022886613227,0.865527331829071
"[1, 0.14, 0.14, 0.1]",0.01,+,68,0.8665606643543883,0.86669921875
"[1, 0.14, 0.14, 0.1]",0.01,+,69,0.8668778474390555,0.8651367425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,70,0.8671538379153245,0.8670898675918579
"[1, 0.14, 0.14, 0.1]",0.01,+,71,0.8674874980433511,0.8671875
"[1, 0.14, 0.14, 0.1]",0.01,+,72,0.8677799655629794,0.8685547113418579
"[1, 0.14, 0.14, 0.1]",0.01,+,73,0.8680765523434475,0.8690429925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,74,0.8684431665581928,0.8685547113418579
"[1, 0.14, 0.14, 0.1]",0.01,+,75,0.8687232762953015,0.869335949420929
"[1, 0.14, 0.14, 0.1]",0.01,+,76,0.8690528171624884,0.8646484613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,77,0.8694153121163938,0.8661133050918579
"[1, 0.14, 0.14, 0.1]",0.01,+,78,0.8696542292451043,0.8651367425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,79,0.8699178619388537,0.868945300579071
"[1, 0.14, 0.14, 0.1]",0.01,+,80,0.8702062101976421,0.867968738079071
"[1, 0.14, 0.14, 0.1]",0.01,+,81,0.8705357510648289,0.8680664300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,82,0.8708694111928555,0.8680664300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,83,0.8711412824082847,0.86865234375
"[1, 0.14, 0.14, 0.1]",0.01,+,84,0.8714625847537918,0.869824230670929
"[1, 0.14, 0.14, 0.1]",0.01,+,85,0.8717715293167794,0.8697265386581421
"[1, 0.14, 0.14, 0.1]",0.01,+,86,0.8720639968364077,0.8697265386581421
"[1, 0.14, 0.14, 0.1]",0.01,+,87,0.8723399873126766,0.8714843988418579
"[1, 0.14, 0.14, 0.1]",0.01,+,88,0.8726242163106253,0.8716796636581421
"[1, 0.14, 0.14, 0.1]",0.01,+,89,0.8728837297435348,0.87255859375
"[1, 0.14, 0.14, 0.1]",0.01,+,90,0.8731926743065225,0.8721679449081421
"[1, 0.14, 0.14, 0.1]",0.01,+,91,0.8734480684785922,0.8724609613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,92,0.8737158204331815,0.872363269329071
"[1, 0.14, 0.14, 0.1]",0.01,+,93,0.8739629760835715,0.8724609613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,94,0.874226608777321,0.8720703125
"[1, 0.14, 0.14, 0.1]",0.01,+,95,0.8744737644277111,0.8711913824081421
"[1, 0.14, 0.14, 0.1]",0.01,+,96,0.8747909475123784,0.874316394329071
"[1, 0.14, 0.14, 0.1]",0.01,+,97,0.8751122498578855,0.873242199420929
"[1, 0.14, 0.14, 0.1]",0.01,+,98,0.8753676440299553,0.8739258050918579
"[1, 0.14, 0.14, 0.1]",0.01,+,99,0.8756765885929428,0.873339831829071
"[1, 0.14, 0.14, 0.1]",0.01,+,100,0.8759443405475321,0.873339831829071
