range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,99,0.9070941910183636,0.862988293170929
"[1, 0.14, 0.14, 0.1]",0.01,+,100,0.9071395028876018,0.8636718988418579
"[1, 0.14, 0.14, 0.1]",0.01,+,101,0.9071724569743205,0.8641601800918579
"[1, 0.14, 0.14, 0.1]",0.01,+,102,0.9071971725393595,0.864941418170929
"[1, 0.14, 0.14, 0.1]",0.01,+,103,0.9072177688435588,0.865234375
"[1, 0.14, 0.14, 0.1]",0.01,+,104,0.9072630807127969,0.8626953363418579
"[1, 0.14, 0.14, 0.1]",0.01,+,105,0.9073042733211952,0.8643554449081421
"[1, 0.14, 0.14, 0.1]",0.01,+,106,0.9073331081470741,0.8651367425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,107,0.907357823712113,0.868457019329071
"[1, 0.14, 0.14, 0.1]",0.01,+,108,0.9073701814946326,0.8677734136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,109,0.9073990163205115,0.86767578125
"[1, 0.14, 0.14, 0.1]",0.01,+,110,0.9074154933638708,0.868359386920929
"[1, 0.14, 0.14, 0.1]",0.01,+,111,0.90743608966807,0.8690429925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,112,0.9074484474505895,0.87109375
"[1, 0.14, 0.14, 0.1]",0.01,+,113,0.9074731630156285,0.869824230670929
"[1, 0.14, 0.14, 0.1]",0.01,+,114,0.9075019978415073,0.869824230670929
"[1, 0.14, 0.14, 0.1]",0.01,+,115,0.907510236363187,0.8690429925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,116,0.907510236363187,0.867968738079071
"[1, 0.14, 0.14, 0.1]",0.01,+,117,0.907534951928226,0.868847668170929
"[1, 0.14, 0.14, 0.1]",0.01,+,118,0.907559667493265,0.867382824420929
"[1, 0.14, 0.14, 0.1]",0.01,+,119,0.9075720252757845,0.86962890625
"[1, 0.14, 0.14, 0.1]",0.01,+,120,0.9075926215799837,0.869824230670929
"[1, 0.14, 0.14, 0.1]",0.01,+,121,0.9076049793625032,0.869335949420929
"[1, 0.14, 0.14, 0.1]",0.01,+,122,0.9076296949275422,0.869824230670929
