range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1829,0.992156927,0.603906274
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1830,0.992156927,0.604492188
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1831,0.992161047,0.60546875
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1832,0.992161047,0.604492188
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1833,0.992161047,0.602636695
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1834,0.992161047,0.603027344
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1835,0.992161047,0.597558618
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1836,0.992161047,0.597363293
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1837,0.992165166,0.596191406
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1838,0.992169285,0.596972644
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1839,0.992169285,0.594921887
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1840,0.992169285,0.59462893
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1841,0.992169285,0.593164086
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1842,0.992169285,0.597070336
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1843,0.992169285,0.594238281
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1844,0.992169285,0.593457043
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1845,0.992173404,0.595019519
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1846,0.992173404,0.598730445
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1847,0.992177524,0.60244143
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1848,0.992177524,0.605761707
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1849,0.992177524,0.603124976
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1850,0.993244412,0.370019525
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1851,0.993388586,0.401074231
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1852,0.993392706,0.426269531
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1853,0.993400944,0.441601574
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1854,0.993405063,0.431542963
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1855,0.993405063,0.449999988
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1856,0.993409183,0.458789051
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1857,0.993413302,0.466406256
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1858,0.993417421,0.468457043
"[0.9995, 0.9995, 0.9995, 0.9994]",0.5,+,1859,0.993417421,0.471875012
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1860,0.993417421,0.474707037
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1861,0.993417421,0.476269543
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1862,0.993417421,0.478125006
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1863,0.993417421,0.47958985
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1864,0.993417421,0.48828125
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1865,0.993417421,0.494140625
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1866,0.993417421,0.498437494
"[0.9995, 0.9995, 0.9995, 0.9994]",0.01,+,1867,0.993417421,0.501953125
